Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,April,Q2,New Customer,Outbound,Retail,2420
2014,April,Q2,New Customer,Outbound,Foundation-Not for Profit,3450
2014,April,Q2,New Customer,Inbound,Business Services,0
2014,April,Q2,New Customer,Inbound,Financial Services,4160
2014,April,Q2,New Customer,Inbound,Consumer Goods,1200
2014,April,Q2,New Customer,Inbound,Media & Entertainment,260000
2014,April,Q2,New Customer,Outbound,Gaming,500000
2014,April,Q2,New Customer,Inbound,Media & Entertainment,650
2014,April,Q2,New Customer,Inbound,High Technology,180000
2014,April,Q2,New Customer,Outbound,Miscellaneous,8000
2014,April,Q2,New Customer,Outbound,Gaming,13501
2014,April,Q2,New Customer,Inbound,Media & Entertainment,4870
2014,April,Q2,New Customer,Inbound,Media & Entertainment,3750
2014,April,Q2,New Customer,Inbound,High Technology,1000
2014,April,Q2,New Customer,Outbound,High Technology,5518
2014,April,Q2,New Customer,Outbound,Consumer Goods,2125
2014,April,Q2,New Customer,Outbound,Media & Entertainment,229803
2014,April,Q2,New Customer,Inbound,Consumer Goods,2000
2014,April,Q2,New Customer,Inbound,Foundation-Not for Profit,1100
2014,April,Q2,New Customer,Inbound,Media & Entertainment,8625
2014,April,Q2,New Customer,Outbound,Gaming,91667
2014,April,Q2,New Customer,Outbound,Media & Entertainment,0
2014,April,Q2,New Customer,Outbound,Manufacturing,20943
2014,April,Q2,New Customer,Inbound,Retail,3000
2014,April,Q2,New Customer,Inbound,Media & Entertainment,4000
2014,April,Q2,New Customer,Outbound,Gaming,481994
2014,April,Q2,New Customer,Outbound,Software as a Service,65000
2014,April,Q2,New Customer,Inbound,Media & Entertainment,8000
2014,April,Q2,New Customer,Inbound,Media & Entertainment,6000
2014,April,Q2,New Customer,Outbound,Gaming,0
2014,April,Q2,New Customer,Outbound,Education,2875
2014,April,Q2,New Customer,Outbound,Retail,9453
2014,April,Q2,New Customer,Inbound,Manufacturing,4396
2014,April,Q2,New Customer,Outbound,Media & Entertainment,0
2014,April,Q2,New Customer,Inbound,Financial Services,5000
2014,April,Q2,New Customer,Outbound,Retail,5861
2014,April,Q2,New Customer,Outbound,Consumer Goods,4850000
2014,April,Q2,New Customer,Outbound,Retail,495000
2014,April,Q2,New Customer,Outbound,Retail,800
2014,April,Q2,New Customer,Outbound,Education,374955
2014,April,Q2,New Customer,Inbound,Public Sector,15786
2014,April,Q2,New Customer,Outbound,Media & Entertainment,16275000
2014,April,Q2,New Customer,Outbound,Manufacturing,3500
2014,April,Q2,New Customer,Outbound,Gaming,0
2014,April,Q2,New Customer,Outbound,Hotel & Travel,10980
2014,April,Q2,New Customer,Outbound,Media & Entertainment,4200
2014,April,Q2,New Customer,Outbound,Media & Entertainment,2430
2014,April,Q2,New Customer,Outbound,High Technology,2550
2014,April,Q2,Existing Customer,Outbound,Retail,2511
2014,April,Q2,Existing Customer,Outbound,Financial Services,18000
2014,April,Q2,Existing Customer,Outbound,Financial Services,940
2014,April,Q2,Existing Customer,Inbound,Retail,19336
2014,April,Q2,Existing Customer,Outbound,Media & Entertainment,600
2014,April,Q2,Existing Customer,Outbound,Financial Services,5000
2014,April,Q2,Existing Customer,Outbound,Public Sector,12411
2014,April,Q2,Existing Customer,Outbound,Hotel & Travel,22897
2014,April,Q2,Existing Customer,Outbound,Retail,1866
