ServiceRequestNo,ServiceRequestStatus,TypeOfEnagagement,Incident/ Problem,SR Priority,SR Open Date,SR Close Date,Product,Geography,Country
2491,Closed,No Charge Support,Incident,3-Medium,41848.00,41854.00,USD ,Asia-Pacific,India
2492,Closed,No Charge Support,Incident,3-Medium,41848.00,41854.00,USD ,Asia-Pacific,India
2493,Closed,No Charge Support,Incident,3-Medium,41848.00,41854.00,USD ,Asia-Pacific,India
2361,Closed,Contract,Incident,2-High,41838.00,41855.00,Busi,Asia-Pacific,India
2371,Closed,Contract,Incident,2-High,41797.00,41855.00,Busi,Asia-Pacific,India
2537,Closed,Contract,Incident,3-Medium,41851.00,41855.00,Busi,Asia-Pacific,India
2538,Closed,Contract,Incident,3-Medium,41850.00,41855.00,Busi,Asia-Pacific,India
2539,Closed,Contract,Incident,3-Medium,41850.00,41855.00,Busi,Asia-Pacific,India
2815,Closed,Contract,Incident,3-Medium,41823.00,41855.00,Busi,Asia-Pacific,India
2909,Closed,Contract,Incident,3-Medium,41783.00,41855.00,Busi,Asia-Pacific,India
2981,Closed,Contract,Incident,1-Critical,41863.00,41864.00,AAM ,Asia-Pacific,Malaysia
1555,Closed,Project,Incident,3-Medium,41808.00,41865.00,Busi,Asia-Pacific,Australia
1556,Closed,Project,Incident,3-Medium,41808.00,41865.00,Busi,Asia-Pacific,Australia
2877,Closed,Contract,Incident,2-High,41722.00,41865.00,Busi,Asia-Pacific,Singapore
2896,Closed,Contract,Incident,2-High,41778.00,41865.00,Busi,Asia-Pacific,Japan
2905,Closed,Project,Incident,3-Medium,41808.00,41865.00,Busi,Asia-Pacific,Australia
1566,Closed,Project,Incident,3-Medium,41655.00,41869.00,Busi,Asia-Pacific,India
2197,Closed,Project,Incident,2-High,41849.00,41869.00,Busi,Asia-Pacific,India
2360,Closed,Project,Request for Fulfillment,3-Medium,41862.00,41869.00,Busi,Asia-Pacific,India
2384,Closed,Contract,Incident,1-Critical,41759.00,41869.00,Busi,Asia-Pacific,India
2387,Closed,Contract,Incident,1-Critical,41673.00,41869.00,Busi,Asia-Pacific,India
2523,Closed,No Charge Support,Incident,3-Medium,41859.00,41869.00,USD ,Asia-Pacific,India
2557,Closed,Contract,Incident,1-Critical,41759.00,41869.00,Busi,Asia-Pacific,India
2869,Closed,Contract,Incident,1-Critical,41673.00,41869.00,Busi,Asia-Pacific,India
2982,Closed,Contract,Incident,3-Medium,41866.00,41869.00,AAM ,Asia-Pacific,Malaysia
1552,Closed,Project,Problem,3-Medium,41778.00,41870.00,AAM ,Asia-Pacific,Australia
1682,Closed,Contract,Request for Fulfillment,3-Medium,41851.00,41870.00,PHD ,Asia-Pacific,Singapore
1686,Closed,Contract,Incident,4-Low,41856.00,41870.00,PHD ,Asia-Pacific,Japan
2906,Closed,No Charge Support,Incident,2-High,41810.00,41870.00,Busi,Asia-Pacific,India
1684,Closed,Project,Incident,3-Medium,41852.00,41872.00,Unsp,Asia-Pacific,Thailand
2198,Closed,Project,Incident,2-High,41817.00,41872.00,Busi,Asia-Pacific,India
2509,Closed,Project,Problem,1-Critical,41851.00,41872.00,USD ,Asia-Pacific,Korea South
2510,Closed,Project,Problem,1-Critical,41851.00,41872.00,USD ,Asia-Pacific,Korea South
2511,Closed,Project,Problem,1-Critical,41851.00,41872.00,USD ,Asia-Pacific,Korea South
2532,Closed,Project,Problem,1-Critical,41869.00,41873.00,Oper,Asia-Pacific,Australia
2533,Closed,Project,Problem,1-Critical,41869.00,41873.00,Oper,Asia-Pacific,Australia
2782,Closed,Contract,Request for Fulfillment,3-Medium,41876.00,41876.00,Busi,Asia-Pacific,India
2785,Closed,Contract,Incident,3-Medium,41855.00,41876.00,Busi,Asia-Pacific,India
2849,Closed,Project,Incident,3-Medium,41876.00,41876.00,Blen,Asia-Pacific,India
2064,Closed,Project,Incident,2-High,41876.00,41877.00,Busi,Asia-Pacific,Australia
1629,Closed,Project,Problem,3-Medium,41645.00,41883.00,PHD ,Asia-Pacific,China
2427,Closed,Project,Problem,1-Critical,41823.00,41883.00,Oper,Asia-Pacific,Australia
2428,Closed,Project,Problem,1-Critical,41823.00,41883.00,Oper,Asia-Pacific,Australia
2429,Closed,Project,Problem,1-Critical,41823.00,41883.00,Oper,Asia-Pacific,Australia
2536,Closed,Contract,Incident,2-High,41883.00,41883.00,Busi,Asia-Pacific,India
2784,Closed,Contract,Incident,3-Medium,41856.00,41883.00,Busi,Asia-Pacific,India
2903,Closed,Contract,Incident,4-Low,41801.00,41883.00,Adva,Asia-Pacific,Japan
2195,Closed,Project,Incident,3-Medium,41871.00,41885.00,Busi,Asia-Pacific,Australia
2780,Closed,Contract,Request for Fulfillment,3-Medium,41878.00,41885.00,Busi,Asia-Pacific,India
2781,Closed,Contract,Incident,3-Medium,41877.00,41885.00,Busi,Asia-Pacific,India
2359,Closed,Contract,Incident,3-Medium,41869.00,41886.00,Busi,Asia-Pacific,India
2912,Closed,Contract,Incident,3-Medium,41831.00,41886.00,Busi,Asia-Pacific,Australia
2976,Closed,Contract,Incident,2-High,41828.00,41886.00,AAM ,Asia-Pacific,Singapore
2194,Closed,Contract,Incident,3-Medium,41876.00,41887.00,Busi,Asia-Pacific,India
1640,Closed,Project,Incident,3-Medium,41721.00,41890.00,PHD ,Asia-Pacific,Singapore
1641,Closed,Project,Incident,3-Medium,41721.00,41890.00,PHD ,Asia-Pacific,Singapore
1648,Closed,Contract,Problem,3-Medium,41746.00,41890.00,PHD ,Asia-Pacific,Singapore
2063,Closed,No Charge Support,Request for Fulfillment,2-High,41859.00,41890.00,Busi,Asia-Pacific,India
2568,Closed,Project,Problem,1-Critical,41890.00,41890.00,USD ,Asia-Pacific,India
1679,Closed,Billable,Incident,3-Medium,41847.00,41893.00,Proc,Asia-Pacific,Malaysia
2748,Closed,Contract,Incident,3-Medium,41891.00,41894.00,Busi,Asia-Pacific,India
2749,Closed,Contract,Incident,3-Medium,41893.00,41894.00,Busi,Asia-Pacific,India
2535,Closed,Contract,Request for Fulfillment,3-Medium,41892.00,41897.00,Busi,Asia-Pacific,India
2572,Closed,No Charge Support,Problem,2-High,41891.00,41897.00,USD ,Asia-Pacific,India
2761,Closed,Contract,Incident,3-Medium,41887.00,41897.00,Busi,Asia-Pacific,India
1543,Closed,Project,Problem,2-High,41869.00,41898.00,Busi,Asia-Pacific,India
1549,Closed,Project,Problem,2-High,41869.00,41898.00,Busi,Asia-Pacific,India
2917,Closed,Contract,Incident,4-Low,41781.00,41898.00,Blen,Asia-Pacific,Japan
1551,Closed,Project,Incident,3-Medium,41869.00,41899.00,Busi,Asia-Pacific,Australia
2520,Closed,Project,Incident,1-Critical,41857.00,41899.00,Oper,Asia-Pacific,Australia
2521,Closed,Project,Incident,1-Critical,41857.00,41899.00,Oper,Asia-Pacific,Australia
2522,Closed,Project,Incident,1-Critical,41857.00,41899.00,Oper,Asia-Pacific,Australia
1027,Closed,Contract,Problem,3-Medium,41782.00,41900.00,APC ,Asia-Pacific,Australia
1028,Closed,Contract,Incident,3-Medium,41782.00,41900.00,APC ,Asia-Pacific,Australia
1537,Closed,Project,Request for Fulfillment,3-Medium,41900.00,41900.00,Unsp,Asia-Pacific,Australia
1634,Closed,Project,Incident,3-Medium,41668.00,41900.00,Unsp,Asia-Pacific,Singapore
1692,Closed,Project,Incident,3-Medium,41866.00,41900.00,Unsp,Asia-Pacific,Singapore
2583,Closed,Project,Incident,2-High,41900.00,41900.00,Oper,Asia-Pacific,India
2984,Closed,Contract,Incident,2-High,41894.00,41900.00,AAM ,Asia-Pacific,Malaysia
2986,Closed,Project,Incident,3-Medium,41894.00,41900.00,Blen,Asia-Pacific,Korea South
2987,Closed,Project,Incident,3-Medium,41891.00,41900.00,Blen,Asia-Pacific,Korea South
2988,Closed,Project,Problem,2-High,41864.00,41900.00,Blen,Asia-Pacific,India
2990,Closed,Project,Incident,3-Medium,41849.00,41900.00,Unsp,Asia-Pacific,Singapore
1536,Closed,Contract,Incident,2-High,41901.00,41901.00,Busi,Asia-Pacific,India
1718,Closed,Project,Incident,3-Medium,41900.00,41901.00,PHD ,Asia-Pacific,Singapore
1719,Closed,Project,Incident,3-Medium,41900.00,41901.00,PHD ,Asia-Pacific,Singapore
1891,Closed,Project,Problem,3-Medium,41885.00,41901.00,Unsp,Asia-Pacific,India
2586,Closed,Contract,Incident,1-Critical,41901.00,41901.00,USD ,Asia-Pacific,Japan
2747,Closed,Unverified,Incident,3-Medium,41900.00,41904.00,Busi,Asia-Pacific,India
1721,Closed,Contract,Incident,4-Low,41904.00,41906.00,PHD ,Asia-Pacific,Japan
2859,Closed,Project,Incident,3-Medium,41867.00,41906.00,Blen,Asia-Pacific,Korea South
1012,Closed,Contract,Incident,2-High,41723.00,41907.00,APC ,Asia-Pacific,India
1013,Closed,Contract,Incident,2-High,41723.00,41907.00,APC ,Asia-Pacific,India
1676,Closed,Project,Incident,2-High,41842.00,41909.00,PHD ,Asia-Pacific,Japan
1677,Closed,Project,Incident,2-High,41842.00,41909.00,PHD ,Asia-Pacific,India
1681,Closed,Project,Request for Fulfillment,4-Low,41848.00,41909.00,Unsp,Asia-Pacific,Australia
1698,Closed,Project,Incident,3-Medium,41871.00,41909.00,PHD ,Asia-Pacific,Indonesia
1702,Closed,Contract,Incident,3-Medium,41878.00,41909.00,PHD ,Asia-Pacific,Australia
1711,Closed,Contract,Problem,1-Critical,41893.00,41909.00,PHD ,Asia-Pacific,India
2551,Closed,Project,Problem,1-Critical,41877.00,41909.00,Oper,Asia-Pacific,Singapore
2564,Closed,Project,Incident,1-Critical,41886.00,41909.00,USD ,Asia-Pacific,India
2569,Closed,No Charge Support,Problem,3-Medium,41890.00,41909.00,USD ,Asia-Pacific,India
2570,Closed,No Charge Support,Incident,3-Medium,41890.00,41909.00,USD ,Asia-Pacific,India
2571,Closed,No Charge Support,Incident,3-Medium,41890.00,41909.00,USD ,Asia-Pacific,India
2577,Closed,No Charge Support,Problem,3-Medium,41897.00,41909.00,USD ,Asia-Pacific,Brunei Darussalam
2847,Closed,Project,Problem,2-High,41871.00,41909.00,Blen,Asia-Pacific,Korea South
2848,Closed,Project,Problem,2-High,41872.00,41909.00,Blen,Asia-Pacific,India
2860,Closed,Project,Problem,2-High,41871.00,41909.00,Blen,Asia-Pacific,Korea South
1018,Closed,Contract,Incident,3-Medium,41753.00,41911.00,APC ,Asia-Pacific,Australia
1046,Closed,Contract,Problem,3-Medium,41838.00,41911.00,APC ,Asia-Pacific,Australia
1047,Closed,Contract,Problem,3-Medium,41838.00,41911.00,APC ,Asia-Pacific,Australia
2173,Closed,Project,Incident,1-Critical,41904.00,41911.00,Busi,Asia-Pacific,Singapore
2174,Closed,No Charge Support,Incident,1-Critical,41899.00,41911.00,Busi,Asia-Pacific,India
2196,Closed,Project,Problem,3-Medium,41862.00,41911.00,Busi,Asia-Pacific,China
2597,Closed,No Charge Support,Problem,1-Critical,41906.00,41911.00,USD ,Asia-Pacific,India
2598,Closed,No Charge Support,Problem,1-Critical,41906.00,41911.00,USD ,Asia-Pacific,India
2599,Closed,No Charge Support,Problem,1-Critical,41906.00,41911.00,USD ,Asia-Pacific,India
2612,Closed,No Charge Support,Problem,2-High,41911.00,41911.00,USD ,Asia-Pacific,China
1535,Closed,Contract,Incident,2-High,41908.00,41912.00,Busi,Asia-Pacific,India
1573,Closed,Contract,Problem,2-High,41906.00,41918.00,AAM ,Asia-Pacific,Malaysia
1653,Closed,Project,Incident,3-Medium,41779.00,41918.00,Unsp,Asia-Pacific,India
1655,Closed,Project,Incident,3-Medium,41779.00,41918.00,Unsp,Asia-Pacific,India
1656,Closed,Project,Incident,3-Medium,41779.00,41918.00,Unsp,Asia-Pacific,India
2172,Closed,Project,Incident,2-High,41904.00,41919.00,Busi,Asia-Pacific,Singapore
2178,Closed,Project,Request for Fulfillment,2-High,41893.00,41919.00,Blen,Asia-Pacific,Korea South
2179,Closed,Project,Request for Fulfillment,2-High,41893.00,41919.00,Blen,Asia-Pacific,Korea South
1687,Closed,Project,Incident,2-High,41859.00,41920.00,Unsp,Asia-Pacific,Japan
2876,Closed,Contract,Incident,3-Medium,41712.00,41920.00,Busi,Asia-Pacific,Australia
2915,Closed,Contract,Incident,2-High,41905.00,41920.00,Busi,Asia-Pacific,Australia
2182,Closed,Contract,Request for Fulfillment,3-Medium,41879.00,41921.00,Busi,Asia-Pacific,Australia
2920,Closed,Project,Incident,3-Medium,41921.00,41921.00,Blen,Asia-Pacific,India
1571,Closed,Contract,Incident,3-Medium,41886.00,41925.00,AAM ,Asia-Pacific,Malaysia
2718,Closed,Billable,Incident,3-Medium,41921.00,41925.00,Busi,Asia-Pacific,India
2719,Closed,Billable,Incident,3-Medium,41921.00,41925.00,Busi,Asia-Pacific,India
2721,Closed,Billable,Incident,3-Medium,41913.00,41925.00,Busi,Asia-Pacific,India
2745,Closed,Billable,Incident,3-Medium,41913.00,41925.00,Busi,Asia-Pacific,India
2980,Closed,No Charge Support,Incident,3-Medium,41919.00,41925.00,Blen,Asia-Pacific,Korea South
2985,Closed,Project,Incident,3-Medium,41913.00,41925.00,AAM ,Asia-Pacific,Vietnam
1522,Closed,Project,Incident,3-Medium,41926.00,41926.00,Busi,Asia-Pacific,Australia
1736,Closed,Contract,Incident,2-High,41916.00,41926.00,PHD ,Asia-Pacific,Australia
2099,Closed,No Charge Support,Incident,2-High,41925.00,41926.00,USD ,Asia-Pacific,Indonesia
1060,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1061,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1062,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1063,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1064,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1065,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1066,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1067,Closed,Contract,Incident,3-Medium,41894.00,41927.00,APC ,Asia-Pacific,Thailand
1521,Closed,Project,Incident,3-Medium,41927.00,41927.00,Busi,Asia-Pacific,Singapore
1534,Closed,Project,Incident,3-Medium,41709.00,41927.00,AAM ,Asia-Pacific,Thailand
2951,Closed,Project,Incident,3-Medium,41824.00,41927.00,AAM ,Asia-Pacific,Japan
2968,Closed,Project,Request for Fulfillment,3-Medium,41884.00,41927.00,AAM ,Asia-Pacific,Vietnam
1053,Closed,Contract,Incident,3-Medium,41893.00,41928.00,APC ,Asia-Pacific,Australia
1054,Closed,Contract,Incident,3-Medium,41893.00,41928.00,APC ,Asia-Pacific,Australia
2952,Closed,Project,Request for Fulfillment,4-Low,41828.00,41928.00,Oper,Asia-Pacific,Korea South
1892,Closed,Project,Problem,2-High,41920.00,41929.00,PHD ,Asia-Pacific,Malaysia
1893,Closed,Project,Problem,2-High,41920.00,41929.00,PHD ,Asia-Pacific,Malaysia
2362,Closed,Contract,Request for Fulfillment,3-Medium,41830.00,41932.00,Busi,Asia-Pacific,India
2385,Closed,Contract,Incident,2-High,41750.00,41932.00,Unsp,Asia-Pacific,India
2623,Closed,Project,Incident,3-Medium,41928.00,41932.00,Oper,Asia-Pacific,India
2671,Closed,Billable,Incident,3-Medium,41922.00,41932.00,Busi,Asia-Pacific,India
2672,Closed,Billable,Incident,3-Medium,41922.00,41932.00,Busi,Asia-Pacific,India
2886,Closed,Contract,Incident,2-High,41750.00,41932.00,Unsp,Asia-Pacific,India
2949,Closed,Contract,Problem,3-Medium,41758.00,41932.00,Busi,Asia-Pacific,India
1645,Closed,Billable,Incident,3-Medium,41729.00,41933.00,PHD ,Asia-Pacific,Papua New Guinea
1003,Closed,Contract,Problem,2-High,41662.00,41934.00,APC ,Asia-Pacific,Japan
1006,Closed,Contract,Problem,3-Medium,41703.00,41934.00,APC ,Asia-Pacific,Japan
1015,Closed,Contract,Problem,3-Medium,41753.00,41934.00,APC ,Asia-Pacific,Australia
1016,Closed,Contract,Problem,3-Medium,41753.00,41934.00,APC ,Asia-Pacific,Australia
1017,Closed,Contract,Incident,2-High,41753.00,41934.00,APC ,Asia-Pacific,Australia
1031,Closed,Contract,Incident,3-Medium,41800.00,41934.00,APC ,Asia-Pacific,Australia
1032,Closed,Contract,Incident,3-Medium,41800.00,41934.00,APC ,Asia-Pacific,Australia
1033,Closed,Contract,Incident,3-Medium,41800.00,41934.00,APC ,Asia-Pacific,Australia
1039,Closed,Contract,Incident,2-High,41814.00,41934.00,APC ,Asia-Pacific,Australia
1040,Closed,Contract,Incident,2-High,41814.00,41934.00,APC ,Asia-Pacific,Australia
1055,Closed,Contract,Incident,2-High,41893.00,41934.00,APC ,Asia-Pacific,Australia
1056,Closed,Contract,Incident,2-High,41893.00,41934.00,APC ,Asia-Pacific,Australia
1057,Closed,Contract,Incident,2-High,41893.00,41934.00,APC ,Asia-Pacific,Australia
1058,Closed,Contract,Incident,2-High,41893.00,41934.00,APC ,Asia-Pacific,Australia
2356,Closed,Contract,Incident,3-Medium,41876.00,41937.00,Busi,Asia-Pacific,India
2624,Closed,Project,Incident,4-Low,41929.00,41937.00,USD ,Asia-Pacific,India
2625,Closed,Project,Incident,4-Low,41929.00,41937.00,USD ,Asia-Pacific,India
2626,Closed,Project,Incident,4-Low,41929.00,41937.00,USD ,Asia-Pacific,India
2627,Closed,No Charge Support,Problem,3-Medium,41932.00,41937.00,USD ,Asia-Pacific,India
2330,Closed,Project,Incident,3-Medium,41927.00,41939.00,Busi,Asia-Pacific,India
1019,Closed,Project,Incident,3-Medium,41766.00,41940.00,AAM ,Asia-Pacific,Japan
1020,Closed,Project,Incident,3-Medium,41766.00,41940.00,AAM ,Asia-Pacific,Japan
1663,Closed,Contract,Incident,2-High,41814.00,41940.00,PHD ,Asia-Pacific,Australia
2164,Closed,Project,Incident,3-Medium,41929.00,41940.00,Busi,Asia-Pacific,Singapore
2171,Closed,Project,Incident,3-Medium,41905.00,41940.00,Busi,Asia-Pacific,Singapore
2199,Closed,Contract,Incident,2-High,41814.00,41940.00,PHD ,Asia-Pacific,Australia
2496,Closed,Project,Incident,2-High,41849.00,41940.00,Oper,Asia-Pacific,Bangladesh
2497,Closed,Project,Incident,2-High,41849.00,41940.00,Oper,Asia-Pacific,Bangladesh
2498,Closed,Project,Incident,2-High,41849.00,41940.00,Oper,Asia-Pacific,Bangladesh
2619,Closed,No Charge Support,Incident,3-Medium,41925.00,41940.00,USD ,Asia-Pacific,Korea South
2907,Closed,Contract,Incident,2-High,41814.00,41940.00,PHD ,Asia-Pacific,Australia
2979,Closed,Project,Problem,2-High,41926.00,41940.00,Blen,Asia-Pacific,India
1530,Closed,No Charge Support,Incident,2-High,41922.00,41941.00,Busi,Asia-Pacific,India
2166,Closed,No Charge Support,Incident,2-High,41922.00,41941.00,Busi,Asia-Pacific,India
2339,Closed,Contract,Incident,4-Low,41920.00,41941.00,Busi,Asia-Pacific,India
2348,Closed,Contract,Incident,2-High,41884.00,41941.00,Busi,Asia-Pacific,India
2620,Closed,Project,Problem,1-Critical,41925.00,41941.00,USD ,Asia-Pacific,India
2621,Closed,Project,Problem,1-Critical,41925.00,41941.00,USD ,Asia-Pacific,India
1727,Closed,Project,Incident,3-Medium,41912.00,41942.00,Unsp,Asia-Pacific,Indonesia
2445,Closed,Project,Problem,1-Critical,41834.00,41942.00,USD ,Asia-Pacific,Korea South
2446,Closed,Project,Problem,1-Critical,41834.00,41942.00,USD ,Asia-Pacific,Korea South
2447,Closed,Project,Problem,1-Critical,41834.00,41942.00,USD ,Asia-Pacific,Korea South
2448,Closed,Project,Problem,1-Critical,41834.00,41942.00,USD ,Asia-Pacific,Korea South
2974,Closed,Project,Incident,4-Low,41940.00,41942.00,Blen,Asia-Pacific,India
2983,Closed,No Charge Support,Incident,3-Medium,41906.00,41942.00,Blen,Asia-Pacific,Korea South
1226,Closed,Project,Incident,2-High,41855.00,41943.00,Oper,Asia-Pacific,Indonesia
1227,Closed,Project,Incident,2-High,41855.00,41943.00,Oper,Asia-Pacific,Indonesia
1348,Closed,Project,Problem,2-High,41934.00,41943.00,USD ,Asia-Pacific,China
2977,Closed,No Charge Support,Incident,3-Medium,41939.00,41943.00,Blen,Asia-Pacific,Korea South
2638,Closed,No Charge Support,Problem,2-High,41944.00,41944.00,USD ,Asia-Pacific,Vietnam
2639,Closed,No Charge Support,Incident,1-Critical,41944.00,41944.00,USD ,Asia-Pacific,India
2640,Closed,No Charge Support,Incident,1-Critical,41944.00,41944.00,USD ,Asia-Pacific,India
2641,Closed,No Charge Support,Incident,1-Critical,41944.00,41944.00,USD ,Asia-Pacific,India
2420,Closed,Project,Incident,4-Low,41822.00,41945.00,USD ,Asia-Pacific,Japan
2437,Closed,Project,Problem,2-High,41829.00,41945.00,Oper,Asia-Pacific,Unspecified
2469,Closed,Project,Incident,2-High,41841.00,41945.00,Oper,Asia-Pacific,India
2470,Closed,Project,Incident,2-High,41841.00,41945.00,Oper,Asia-Pacific,India
2471,Closed,Project,Incident,2-High,41841.00,41945.00,Oper,Asia-Pacific,India
2472,Closed,Project,Incident,2-High,41841.00,41945.00,Oper,Asia-Pacific,India
2473,Closed,No Charge Support,Incident,2-High,41842.00,41945.00,USD ,Asia-Pacific,India
2474,Closed,No Charge Support,Incident,2-High,41842.00,41945.00,USD ,Asia-Pacific,India
2482,Closed,Project,Problem,2-High,41844.00,41945.00,Oper,Asia-Pacific,India
2483,Closed,Project,Problem,2-High,41844.00,41945.00,Oper,Asia-Pacific,India
2484,Closed,Project,Problem,2-High,41844.00,41945.00,Oper,Asia-Pacific,India
2494,Closed,No Charge Support,Problem,3-Medium,41849.00,41945.00,USD ,Asia-Pacific,India
2495,Closed,No Charge Support,Problem,3-Medium,41849.00,41945.00,USD ,Asia-Pacific,India
2499,Closed,No Charge Support,Problem,3-Medium,41850.00,41945.00,USD ,Asia-Pacific,Singapore
2500,Closed,No Charge Support,Problem,3-Medium,41850.00,41945.00,USD ,Asia-Pacific,Singapore
2507,Closed,Project,Problem,2-High,41851.00,41945.00,USD ,Asia-Pacific,India
2508,Closed,Project,Problem,2-High,41851.00,41945.00,USD ,Asia-Pacific,India
2616,Closed,No Charge Support,Problem,2-High,41913.00,41945.00,USD ,Asia-Pacific,Indonesia
1092,Closed,Contract,Incident,3-Medium,41941.00,41946.00,APC ,Asia-Pacific,Japan
1093,Closed,Contract,Incident,3-Medium,41941.00,41946.00,APC ,Asia-Pacific,Japan
1094,Closed,Contract,Incident,3-Medium,41941.00,41946.00,APC ,Asia-Pacific,Japan
1095,Closed,Contract,Incident,3-Medium,41941.00,41946.00,APC ,Asia-Pacific,Japan
1096,Closed,Contract,Incident,3-Medium,41941.00,41946.00,APC ,Asia-Pacific,Japan
1898,Closed,No Charge Support,Incident,4-Low,41939.00,41946.00,Proc,Asia-Pacific,Unspecified
2306,Closed,Contract,Incident,3-Medium,41946.00,41946.00,Busi,Asia-Pacific,India
2631,Closed,No Charge Support,Problem,3-Medium,41941.00,41946.00,USD ,Asia-Pacific,Korea South
2632,Closed,No Charge Support,Problem,3-Medium,41941.00,41946.00,USD ,Asia-Pacific,Korea South
2633,Closed,No Charge Support,Problem,3-Medium,41941.00,41946.00,USD ,Asia-Pacific,Korea South
2091,Closed,Project,Problem,3-Medium,41649.00,41947.00,Oper,Asia-Pacific,Australia
2264,Closed,Project,Problem,2-High,41739.00,41947.00,Oper,Asia-Pacific,Indonesia
2549,Closed,No Charge Support,Problem,3-Medium,41876.00,41947.00,USD ,Asia-Pacific,Singapore
2550,Closed,Project,Incident,2-High,41877.00,41947.00,USD ,Asia-Pacific,Bangladesh
2563,Closed,Project,Problem,1-Critical,41884.00,41947.00,USD ,Asia-Pacific,Bangladesh
1101,Closed,No Charge Support,Incident,3-Medium,41943.00,41948.00,APC ,Asia-Pacific,Australia
1102,Closed,Contract,Problem,3-Medium,41946.00,41948.00,APC ,Asia-Pacific,Japan
1103,Closed,Contract,Problem,3-Medium,41946.00,41948.00,APC ,Asia-Pacific,Japan
2717,Closed,Billable,Incident,3-Medium,41922.00,41949.00,Busi,Asia-Pacific,India
1570,Closed,Contract,Incident,2-High,41878.00,41950.00,AAM ,Asia-Pacific,Papua New Guinea
2665,Closed,Contract,Incident,3-Medium,41949.00,41951.00,Busi,Asia-Pacific,India
2670,Closed,Billable,Incident,3-Medium,41946.00,41951.00,Busi,Asia-Pacific,India
2393,Closed,Project,Incident,4-Low,41947.00,41953.00,Blen,Asia-Pacific,India
2897,Closed,Project,Incident,2-High,41779.00,41953.00,Adva,Asia-Pacific,Korea South
1515,Closed,Project,Incident,3-Medium,41928.00,41954.00,Busi,Asia-Pacific,Australia
1516,Closed,Project,Incident,3-Medium,41928.00,41954.00,Busi,Asia-Pacific,Australia
1579,Closed,Project,Incident,2-High,41949.00,41956.00,AAM ,Asia-Pacific,Japan
2534,Closed,Contract,Incident,3-Medium,41953.00,41957.00,Busi,Asia-Pacific,India
1079,Closed,Contract,Incident,2-High,41932.00,41961.00,APC ,Asia-Pacific,New Zealand
1080,Closed,Contract,Incident,2-High,41932.00,41961.00,APC ,Asia-Pacific,New Zealand
1081,Closed,Contract,Incident,2-High,41932.00,41961.00,APC ,Asia-Pacific,New Zealand
1082,Closed,Contract,Incident,2-High,41932.00,41961.00,APC ,Asia-Pacific,New Zealand
1097,Closed,Contract,Incident,2-High,41943.00,41961.00,APC ,Asia-Pacific,Australia
1098,Closed,Contract,Incident,2-High,41943.00,41961.00,APC ,Asia-Pacific,Australia
1099,Closed,Contract,Incident,2-High,41943.00,41961.00,APC ,Asia-Pacific,Australia
1100,Closed,Contract,Incident,2-High,41943.00,41961.00,APC ,Asia-Pacific,Australia
1110,Closed,Contract,Incident,2-High,41956.00,41961.00,APC ,Asia-Pacific,New Zealand
1111,Closed,Contract,Incident,2-High,41956.00,41961.00,APC ,Asia-Pacific,New Zealand
1353,Closed,Project,Incident,2-High,41950.00,41961.00,USD ,Asia-Pacific,China
1354,Closed,Project,Incident,2-High,41950.00,41961.00,USD ,Asia-Pacific,China
1581,Closed,Contract,Incident,1-Critical,41953.00,41961.00,AAM ,Asia-Pacific,Malaysia
2098,Closed,Project,Incident,2-High,41950.00,41961.00,USD ,Asia-Pacific,China
2312,Closed,Project,Incident,3-Medium,41941.00,41961.00,PHD ,Asia-Pacific,Singapore
2658,Closed,Contract,Incident,3-Medium,41961.00,41961.00,Busi,Asia-Pacific,India
2975,Closed,Project,Incident,3-Medium,41939.00,41961.00,Blen,Asia-Pacific,Singapore
2635,Closed,No Charge Support,Problem,4-Low,41944.00,41962.00,USD ,Asia-Pacific,Singapore
2636,Closed,No Charge Support,Problem,4-Low,41944.00,41962.00,USD ,Asia-Pacific,Singapore
2637,Closed,No Charge Support,Problem,4-Low,41944.00,41962.00,USD ,Asia-Pacific,Singapore
1513,Closed,Contract,Incident,2-High,41957.00,41963.00,Busi,Asia-Pacific,India
1578,Closed,Project,Incident,3-Medium,41939.00,41963.00,AAM ,Asia-Pacific,Japan
1670,Closed,Project,Incident,2-High,41962.00,41963.00,Proc,Asia-Pacific,India
1678,Closed,Project,Incident,2-High,41962.00,41963.00,Proc,Asia-Pacific,India
2324,Closed,Contract,Incident,2-High,41927.00,41963.00,Busi,Asia-Pacific,India
2328,Closed,Contract,Incident,4-Low,41927.00,41963.00,Busi,Asia-Pacific,India
2333,Closed,Contract,Incident,4-Low,41920.00,41963.00,AAM ,Asia-Pacific,India
2336,Closed,Contract,Incident,3-Medium,41920.00,41963.00,Busi,Asia-Pacific,India
